ModulName,ModulParent,ModulLevel,ModulCaption
TSMevcut,miStok,0,Stok Mevcutları
TSDlocation,TSMevcut,1,Lokasyon Detay
TSGenel,miCari,3,Genel Durum
TSDetay,miCari,3,Hesap Detayları
TSAylik,miCari,3,Aylık Durum
TSSiparis,miCari,3,Siparişleri
TS_RiskRaporu,miCari,3,Risk Raporu
TS_FiyatListe,miCari,3,Fiyat Listesi
TS_OpenBorc,miCari,3,Kapanmamış Borçlar
miAlHizmetSip,miFinansTanim,2,Alınan Hizmet Siparişi
miUIMalHes,miPlanlama,1,İleri Maliyet Hesaplama...
miUMalPlnFinans,miPlanlama,1,Üretim Senaryo Çalışmaları...
TSRenk,miSParam,1,Renk Tanımları
TSBeden,miSParam,1,Beden Tanımları
TSReyon,miSParam,2,Reyon Tanımları
TSSKGrup,miSParam,2,Stok Grubu Tanımları
TSSKTip,miSParam,2,Stok Tip Tanımları
TSKFiyTip,miSParam,2,Fiyat Tanımları
TSKSekil,miSParam,2,Stok Şekil Tanımları
TCinsiyet,miSParam,2,Cinsiyet Tanımları
TSBirim,miSParam,2,Birim Tanımları
TSBirimGrp,miSParam,2,Birim Grubu Tanımları
TSUretici,miSParam,2,Üretici Tanımları
TSAlternatifKod,miSParam,2,Alternatif Kod Grubu
TGtip,miSParam,2,GTip Tanımları
miMainMenu,,0,
miSystem,,0,Sistem
miLocation,miSystem,1,Lokasyon Seçimi ...
miChangePassword,miSystem,1,Şifre Değiştir...
miScreenLock,miSystem,1,Ekranı Kilitle...
miSParam,miSystem,1,Stok Parametreleri ...
miGDovGir,miSystem,1,Günlük Döviz Girişleri ...
miChangeCatalog,miSystem,1,Katalog değiştir...
miUserChange,miSystem,1,Kullanıcı değiştir...
mieXit,miSystem,1,Programdan Çıkış
miEnvanter,,0,Envanter
miStokMenu,miEnvanter,1,Stok
miStok,miStokMenu,2,Stok Kartı Tanımları ...
miStokHar,miStokMenu,2,Stok İşlemleri ...
miStokYonetim,miStokMenu,2,Stok Yönetimi ...
miStokislemYon,miStokMenu,2,Stok İşlemleri Yönetimi ...
miStokGCYon,miStokMenu,2,Stok Giriş Çıkış Yönetimi
miEn_Filter,miStokMenu,2,Envanter Yönetimi...
miStokKZYon,miStokMenu,2,Kar Zarar Yönetimi...
miFifoLifo,miStokMenu,2,Stok Değerleme Raporları...
miLokDetStk,miStokMenu,2,Lokasyon Detaylı Stok Durum Raporu
miFiyatYonet,miStokMenu,2,Fiyat Yönetimi ...
miStokSay,miStokMenu,2,Stok Sayım Yönetimi ...
miRezervHar,miStokMenu,2,Rezerv İşlemleri...
miBarkodYonet,miEnvanter,1,Barkod Yonetimi
miBarkodCreate,miBarkodYonet,2,Stok Kartlarına Barkod Oluştur ...
miSpeedBarCode,miBarkodYonet,2,Stok Kartlarında Hızlı Barkod işlemleri ...
miSpeedBarcode2,miBarkodYonet,2,Hızlı Barkod Basım Ekranı
miFinans,,0,Finans
miCariMenu,miFinans,1,Cari
miCari,miCariMenu,2,Cari Kart Tanımları ...
miCariFis,miCariMenu,2,Cari İşlemleri ...
miCariYonet,miCariMenu,2,Cari Yönetim ...
miCariYon,miCariMenu,2,Cari İşlem Yönetimi ...
miCariRiskYon,miCariMenu,2,Cari Risk Limit Raporu
miKapaYonet,miCariMenu,2,Borç Alacak Kapama Yönetimi
miBorcYonet,miCariMenu,2,Borçlanma Yönetimi
miCariYasYonet,miCariMenu,2,Cari Yaşlandırma Yönetimi
MiTedarikiPuanlama,miCariMenu,2,Tedarikiçi Puanlama
miKasaMenu,miFinans,1,Kasa
miKasa,miKasaMenu,2,Kasa Tanımları ...
miKasaFis,miKasaMenu,2,Kasa İşlemleri ...
miCSFTakip,miKasaMenu,2,Çek Senet Takibi ...
miKasaYon,miKasaMenu,2,Kasa İşlem Yönetimi ...
miKasaYonet,miKasaMenu,2,Kasa Yönetimi ...
miSpeedKasa,miKasaMenu,2,Hızlı Kasa İşlemleri
miKasaUyari,miKasaMenu,2,Kasalar Arası Transfer Kontrol Modülü...
miCek,miFinans,1,Çek
miCekGir,miCek,2,Çek Bordroları
miMusCekGir,miCekGir,3,Müşteri Çek Girişleri ...
miFirCekCik,miCekGir,3,Firma Çek Çıkışları ...
miCekis,miCek,2,Çek işlemleri
miMusCekis,miCekis,3,Müşteri Çek işlemleri ...
miFirCekis,miCekis,3,Firma Çek işlemleri ...
miCekTakip,miCek,2,Çek Takip İşlemleri
miCekTakipMu,miCekTakip,3,Müşteri Çekleri Takip ...
miCekTakipFi,miCekTakip,3,Firma Çekleri Takip ...
miCekYon,miCek,2,Çek Yönetimi ...
miTopCekPtint,miCek,2,Toplu Çek  Yazdırma Listesi
miSenet,miFinans,1,Senet
miSenetGir,miSenet,2,Senet Bordroları
miMusSenetGir,miSenetGir,3,Müşteri Senet Girişleri ...
miFirSenetCik,miSenetGir,3,Firma Senet Çıkışları ...
miSenetis,miSenet,2,Senet işlemleri
miMusSenetis,miSenetis,3,Müşteri Senet işlemleri ...
miFirSenetis,miSenetis,3,Firma Senet işlemleri ...
miSenetTakip,miSenet,2,Senet Takip işlemleri
miSenetTakipMu,miSenetTakip,3,Müşteri Senetleri Takip ...
miSenetTakipFi,miSenetTakip,3,Firma Senetleri Takip ...
miSenetYon,miSenet,2,Senet Yönetimi ...
miTopSenetPtint,miSenet,2,Toplu Senet Yazdırma Listesi
mibanka,miFinans,1,Banka
miBankaKart,mibanka,2,Banka Kartları ...
miBankais,mibanka,2,Banka işlemleri ...
miSpeedHavale,mibanka,2,Hızlı İşlem Girişi
miBankaYon,mibanka,2,Banka Yönetimi ...
miBankaListesi,mibanka,2,Banka Listesi...
miBankTakip,mibanka,2,Takip
miBankaTakip,miBankTakip,3,Banka Bazında Takip ...
miSubeTakip,miBankTakip,3,Şube Bazında Takip ...
miHesapTakip,miBankTakip,3,Hesap Bazında Takip ...
miKredi,mibanka,2,Kredi
miKrediTanim,miKredi,3,Kredi Tanim...
miKrediOdeme,miKredi,3,Kredi Ödeme Takip...
miBankaKrediYon,miKredi,3,Kredi Yönetimi...
miirsaliyemenu,miFinans,1,İrsaliye
miirs_A,miirsaliyemenu,2,Alış İrsaliye
miirs_A_Fat,miirs_A,3,Alış İrsaliye ...
miirs_A_Kon,miirs_A,3,Alış Konsinye İrsaliye ...
miirs_A_Dah,miirs_A,3,Alış Dahili İrsaliye ...
miirs_A_Pro,miirs_A,3,Alış Promosyon İrsaliye ...
miirs_S,miirsaliyemenu,2,Satış İrsaliye
miirs_S_Fat,miirs_S,3,Satış İrsaliye ...
miirs_S_Kon,miirs_S,3,Satış Konsinye İrsaliye ...
miirs_S_Dah,miirs_S,3,Satış Dahili İrsaliye ...
miirs_S_Pro,miirs_S,3,Satış Promosyon İrsaliye ...
miirsaliyeYon,miirsaliyemenu,2,İrsaliye Yönetimi ...
miFaturaMenu,miFinans,1,Fatura
miFat_A,miFaturaMenu,2,Alış Fatura
miFat_A_Fat,miFat_A,3,Alış Fatura ...
miFat_A_Kon,miFat_A,3,Alış Konsinye Fatura ...
miFat_A_Hiz,miFat_A,3,Alış Hizmet Fatura ...
miFat_A_Pro,miFat_A,3,Alış Promosyon Fatura ...
miFFA,miFat_A,3,Alış Fiyat Farkı Faturası
miFat_A_KFF,miFat_A,3,Kur Farkı Faturası
miFat_S,miFaturaMenu,2,Satış Fatura
miFat_S_Fat,miFat_S,3,Satış Fatura ...
miFat_S_Kon,miFat_S,3,Satış Konsinye Fatura ...
miFat_S_Hiz,miFat_S,3,Satış Hizmet Fatura ...
miFat_S_Pro,miFat_S,3,Satış Promosyon Fatura ...
miFFS,miFat_S,3,Satış Fiyat Farkı Faturası
miFat_S_KFF,miFat_S,3,Kur Farkı Faturası
miFaturaYon,miFaturaMenu,2,Fatura Yönetimi ...
miFatRaporu,miFaturaMenu,2,Fatura / KDV Raporu
miBABS,miFaturaMenu,2,BA - BS Formları
miFatOdePlanFilter,miFaturaMenu,2,Fatura Ödeme Planı Analizi...
miGeriyeOdemePlanlama,miFaturaMenu,2,Geriye Dönük Ödeme Planlama
miFinansTanim,miFinans,1,Finans Tanımlamaları
miGidKart,miFinansTanim,2,Gider Kartları
miGelKart,miFinansTanim,2,Gelir Kartları
miAlHizmetKart,miFinansTanim,2,Alınan Hizmet Kartları
miVerHizmetKart,miFinansTanim,2,Verilen Hizmet Kartları
miGidHizYonet,miFinansTanim,2,GiderGelirHizmet Yönetimi
miisOnay,miFinansTanim,2,İşlem Kapama
miPerGenGid,miFinansTanim,2,Finans Genel Gider Dağıtımı...
miYonKonsol,miFinansTanim,2,Yönetici Konsolu
miAlHizmetSipYon,miFinansTanim,2,Alınan Hizmet Sipariş Yönetimi
miMuhPeriyot,miFinansTanim,2,Periyot Tanımlama...
miMuhPeriyotDetay,miFinansTanim,2,Periyot Atama...
miKrediMenu,miFinans,1,Kredi Kartı
miKrediFis,miKrediMenu,2,Kredi Kartı İşlemleri...
miKrediYon,miKrediMenu,2,Kredi Kart Yönetimi...
miTeminat,miFinans,1,Teminat Mektubu
miTemGir,miTeminat,2,Teminat Giriş Bordroları
miAlTemGir,miTemGir,3,Alınan Teminat Mektubu
miVerTemGir,miTemGir,3,Verilen Teminat Mektubu
miTemHar,miTeminat,2,Teminat Hareket Bordroları
miAlTemHar,miTemHar,3,Alınan Teminat Mektubu Hareketleri
miVerTemHar,miTemHar,3,Verilen Teminat Mektubu Hareketleri
miTemYon,miTeminat,2,Teminat Mektubu Yönetimi ...
miMasrafCenter,miFinans,1,Masraf Merkezi
miMasrafMerKart,miMasrafCenter,2,Masraf Merkezi Tanımları...
miMasrafSablonTanim,miMasrafCenter,2,Masraf Merkezi Şablon Tanımlama...
miMasrafMRapor1,miMasrafCenter,2,Masraf Merkezi Raporları
miMasrafMDurumx,miMasrafMRapor1,3,Masraf Merkezi Durum Raporu...
miMasrafHspOzetx,miMasrafMRapor1,3,Masraf Merkezi Hesap Özeti...
miMasrafEkstrex,miMasrafMRapor1,3,Masraf Merkezi Ekstre Raporu...
miMasrafMYon,miMasrafCenter,2,Masraf Merkezi Yönetimi...
miMasrafDetayListe,miMasrafCenter,2,Masraf Merkezi Detay Listesi...
miUrtMasDag,miMasrafCenter,2,Masraf Merkezi - Üretim Maliyet Dağıtımı
miGVirman,miFinans,1,Genel Virman
miKurFarkDegerleme,miFinans,1,Kur Farkı Değerleme İşlemleri
mi_KurFarkiFis,miKurFarkDegerleme,2,Toplu Kur Farkı Fişi Oluşturma
miCSKurFarkiDegerleme,miKurFarkDegerleme,2,Çek-Senet Kur Farkı Değerleme
miMMuhasebe,,0,Genel Muhasebe
miMAnaKayit,miMMuhasebe,1,Ana Kayıtlar
miMHesapPlan,miMAnaKayit,2,Hesap Planı
miStokMuhBag,miMAnaKayit,2,Stok Özel Grup Muhasebe Bağlantıları
miProcessMuhKod,miMAnaKayit,2,İşlem Tiplerine Özel Muhasebe Kod Tanımlamaları
miGelGidYKMuhKod,miMAnaKayit,2,Gider-Gelir Hesapları Yansıma ve Kapama Hızlı Muhasebe Kodu Atama
miMMuhFis,miMMuhasebe,1,Muhasebe Fişleri
miMislemler,miMMuhasebe,1,İşlemler
miEnt,miMislemler,2,Entegrasyon
miMuhKodAta,miMislemler,2,İşlemlere Hızlı Muhasebe Kodu Ata
miMNumaralandirma,miMislemler,2,Numaralandırma İşlemleri
miMSetMaddeNo,miMNumaralandirma,3,Yevmiye Madde Numaralandırma
miMSetFisNo,miMNumaralandirma,3,Fiş Numaralandırma
mimOtoFis,miMislemler,2,Otomatik Fiş Oluşturma
miMGidKapat,mimOtoFis,3,Gider Hesaplarının Yansıtılması ve  Kapatılması
miMGelKapat,mimOtoFis,3,Gelir Hesaplarınn Kapatılması
miMEnvKapat,mimOtoFis,3,Yıl Sonu Envanter İşlemleri
miMKapaFis,mimOtoFis,3,Kapanış Fişi Oluştur
miKDVTahakkuk,miMislemler,2,KDV Tahakkuk Fişi Oluştur...
miMRaporlar,miMMuhasebe,1,Raporlar
miMizan,miMRaporlar,2,Mizan
miMFisList,miMRaporlar,2,Özet Fiş Listesi
miMAFisList,miMRaporlar,2,Ayrıntılı Fiş Listesi
miMMuavin,miMRaporlar,2,Muavin Defter
miMDefKebir,miMRaporlar,2,Defteri Kebir
miMYevmiye,miMRaporlar,2,Yevmiye Defteri
miMuhBABS,miMRaporlar,2,BA - BS Formları (Muhasebe)
miMuhEnvanter,miMRaporlar,2,Envanter Defteri
