Modul,MOption,CheckValue,Tanim,Typex,Valuex,EditTypeX,PWinCaption,PTable,PRField,PRFields,PRFieldsValues,Katalog,PassChar,DBName
BankaFis,AutoBelLoc,Evet,Banka fişlerinde evrak numarası artımı lokasyon bazında olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,AutoFatNo,Evet,Banka fişlerinde evrak numarası otomatik artsın mı?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,AutoTip,EnBuyukNo,Banka fişlerinde evrak numarası arttırılırken hangi kayıt üzerinden işlem yapılsın?,ComboBox,EnBuyukNo&SonNo,,,,,,,,,LINDON
BankaFis,BaAcKuSetif,Hayir,Banka işlemlerinde hesap numarasının aktif kuru kontrol edilsin ve uyarılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,BAClosedV,Hayir,Banka işlemlerinde borç alacak kapatma tuşu görünsün mü?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,BAClosedVAS,Hayir,Banka işlemlerinde kaydetme işleminden sonra borç alacak kapatma ekranı otomatik çıksın mı?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,BaKurAllow,Hayir,Banka işlemlerinde hesap numarasının aktif kurundan farklı kurda işlem yaılmasına izin verilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,BaKurCheckit,Hayir,Banka işlemlerinde girilen kurlar gösterilsin ve onaylatılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,BankaSilPsw,,Banka fişin silinmesi için gerekli olan şifre?,Edit,,txt,,,,,,,*,LINDON
BankaFis,CariOzKodVisible,Hayir,Cari seçim listesinde özel kodlar görüntülensin mi?,ComboBox,Evet&Hayir,,,,,,,,,LINDON
BankaFis,GarantiKey,,Garanti Bankasının Size Vermiş Olduğu MD5Generate.exe ile Üretmiş Olduğunuz Keyi Giriniz,Edit,,txt,,,,,,,,LINDON
BankaFis,GarantiPass,,Garanti Bankasının Size Vermiş Olduğu Şifreyi Giriniz,Edit,,txt,,,,,,,,LINDON
