Modul,RaporName,CmpName,CmpType,CmpParent,CmpVisible,CmpCaption,CmpTop,CmpLeft,CmpWidth,CmpHeight,CmpFont
BankaCS,<Default>,QRBand1,TQRBand,QuickRep1,T,,137,19,756,26,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRBand2,TQRBand,QuickRep1,T,,105,19,756,32,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText1,TQRDBText,QRBand1,T,Durum,8,2,39,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText10,TQRDBText,QRBand1,T,ParaCinsi,8,722,59,17,MS Sans Serif	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText2,TQRDBText,QRBand1,T,PortfoyNo,8,66,59,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText3,TQRDBText,QRBand1,T,Tarih,8,130,29,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText4,TQRDBText,QRBand1,T,cmb_Kod,8,202,56,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText5,TQRDBText,QRBand1,T,mycek,8,290,23,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText6,TQRDBText,QRBand1,T,Borclu,8,322,159,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText7,TQRDBText,QRBand1,T,CekNo,8,490,55,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText8,TQRDBText,QRBand1,T,vade,8,562,32,17,MS Sans Serif	10	-2147483640	-13	1
BankaCS,<Default>,QRDBText9,TQRDBText,QRBand1,T,Tutar,8,682,32,17,MS Sans Serif	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel1,TQRLabel,QRBand2,T,Durum,16,2,39,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel2,TQRLabel,QRBand2,T,Portföy N.,16,66,59,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel3,TQRLabel,QRBand2,T,Tarih,16,130,29,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel4,TQRLabel,QRBand2,T,Karşı Hesap,16,202,72,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel5,TQRLabel,QRBand2,T,myc,16,290,26,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel6,TQRLabel,QRBand2,T,Borçlu,16,322,38,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel7,TQRLabel,QRBand2,T,Çek No,16,490,44,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel8,TQRLabel,QRBand2,T,Vade,16,562,31,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,QRLabel9,TQRLabel,QRBand2,T,Tutar,16,682,30,17,Arial	10	-2147483640	-13	1
BankaCS,<Default>,TitleBand1,TQRBand,QuickRep1,T,,38,19,756,67,Arial	10	-2147483640	-13	1
BankaCS,<Default>,xQRL_Location,TQRLabel,TitleBand1,T,QRL_Location,44,5,83,17,Arial	10	-2147483640	-13	1
